[MAP]
resources\overworld\scene2\map.txt
[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
23	383.0	223.0	0	0
23	392.0	83.0	0	1
25	620.0	200.0
[BRICK]
# left	top	right	bottom
1	0	1344	32	0
1	32	64	1056	0
1	32	1344	1056	1280
1	32	1280	224	1248
1	32	256	224	224
0	224	112	288	64
0	224	256	288	144
2	480	112	544	64
2	480	256	544	144
2	736	112	800	64
2	736	256	800	144
3	992	1280	1056	64
3	912	1280	992	1248
3	800	1280	880	1248
4	800	1088	992	992
5	800	832	880	736
5	912	832	992	736
6	800	576	992	480
7	800	320	880	224
7	912	320	992	224
8	544	320	624	224
8	656	320	736	224
9	544	576	624	480
9	656	576	736	480
9	544	832	624	736
9	656	832	736	736
1	544	1088	624	992
1	656	1088	736	992
2	544	1280	736	1248
2	544	928	736	880
2	288	1280	480	1248
3	32	1088	112	992
3	144	1088	224	992
4	32	832	224	736
3	32	576	112	480
3	144	576	224	480
5	32	320	224	256
0	224	368	288	256
0	224	880	288	400
0	224	1136	288	912
0	224	1280	288	1168
6	480	1136	544	944
6	480	1280	544	1168
6	736	1136	800	912
6	736	1280	800	1168
7	288	1088	480	992
8	288	832	368	736
8	400	832	480	736
8	288	576	480	480
9	288	320	368	224
9	400	320	480	224
1	736	624	800	256
1	736	944	800	656
1	480	624	544	256
1	480	944	544	656
[CHONG_NHON]
1	976	224	992	144
1	912	224	976	160
1	816	224	880	160
1	800	224	816	144
2	800	112	816	64
2	816	96	864	64
2	864	128	928	64
2	976	112	992	64
2	928	96	976	64
1	32	480	112	464
1	144	480	224	448
1	176	448	224	400
1	64	432	160	400
1	32	368	224	320
3	544	480	624	416
3	576	416	624	384
3	544	384	624	320
3	656	480	672	320
3	672	480	704	448
3	672	416	704	384
3	672	352	704	320
3	704	480	736	320
4	288	736	352	576
4	352	736	368	672
4	352	608	368	576
4	368	608	416	576
4	416	624	480	576
4	416	736	480	656
4	400	736	416	672
5	800	736	816	656
5	816	736	880	672
5	912	736	976	672
5	976	736	992	656
6	800	624	816	576
6	976	624	992	576
6	928	608	976	576
6	816	608	864	576
6	864	640	928	576
1	32	1248	224	1216
1	32	1216	64	1088
1	192	1216	224	1168
1	64	1120	112	1088
1	144	1152	176	1088
1	176	1136	224	1088
1	96	1184	160	1152
0	800	1248	880	1184
0	800	1184	928	1168
0	832	1168	928	1152
1	800	1136	832	1088
1	832	1120	928	1088
1	928	1136	960	1088
1	960	1248	992	1088
1	912	1248	960	1216
