[MAP]
resources\scene8\map.txt	15	64
[OBJECTS]
13	110.1	396.1	-1
13	142.1	458.1	-1
13	420.1	216.1	-1
13	160.1	144.1	-1
12	144	474	-100
12	240	470	-100
12	304	470	100
12	310	486	-100
15	448	466.1
15	448	402.1
15	416.1	338.1
15	416.1	274.1
# type	x	y	ani_set_id	extra_settings per object type
[BRICK]
# left	top	right	bottom
1	0	48	512	0
2	0	64	112	48
2	144	64	240	48
2	272	64	512	48
3	0	128	96	64
3	96	112	128	96
3	256	112	288	96
3	288	128	352	64
3	448	112	480	96
3	480	128	512	64
4	0	192	32	128
4	128	176	160	160
4	160	192	224	128
4	224	176	256	160
4	288	192	368	128
4	368	176	416	128
4	416	176	448	160
4	400	192	416	176
4	480	192	512	128
5	0	256	32	192
5	160	256	224	192
5	480	256	512	192
5	448	240	480	224
6	0	320	416	256
6	480	320	512	256
6	416	304	448	288
7	0	384	96	320
7	96	369	128	352
7	352	384	416	320
7	480	384	512	320
7	448	368	480	352
8	0	528	32	384
8	32	528	480	512
8	480	528	512	384
9	128	432	160	416
9	160	448	240	384
9	240	432	336	384
9	336	448	416	384
9	416	432	448	416
9	272	448	304	432
[FIRE]
2	112	64	144	48
2	240	64	272	48
4	368	192	400	176
9	240	448	272	432
9	304	448	336	432
[PORTAL]
1	32	160	64	128	9	416	128
2	32	416	64	384	7	416	128
